timestamp,ts,steps
0.0728110074996948,-19.4201574921608,0
11.1721590161324,11.0942332148552,7
13.7042289972305,13.6401932239532,11
16.2305930256844,16.1810081005096,16
18.7747470140457,18.7212001085281,20
21.3067120313644,21.2605330944061,24
23.861683011055,23.8029831051826,29
26.3990560173988,26.345786511898,33
28.9356679916382,28.8835064768791,37
31.4858940243721,31.4263359308243,41
34.0186920166016,33.9624388813972,45
36.5727170109749,36.5024282336235,46
87.4013460278511,87.3228752613068,52
89.93569201231,89.8659352660179,56
92.4621689915657,92.4034542441368,60
95.0005519986153,94.9412042498589,65
97.527558028698,97.4807451367378,68
100.079209983349,100.020753085613,72
102.620680034161,102.560584008694,76
105.169771015644,105.103918969631,80
133.124382019043,133.047631502151,88
135.651386976242,135.59351837635,92
138.17965400219,138.131116390228,96
140.732829988003,140.67033547163,97
183.934278011322,183.8644515872,106
186.467137992382,186.401244223118,110
188.975283026695,188.923644244671,111
